key,enabled,identity,password,username
user-account-lecturer-01,true,"UserIdentity{name: 'Diego', surname: 'Brando', email: 'diobrando@acme.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'Jose', surname: 'Garcia', email: 'josgar@acme.com'}",lecturer2,lecturer2
user-account-assistant-01,true,"UserIdentity{name: 'Marcos', surname: 'Brando', email: 'marolmar@acme.com'}",assistant1,assistant1
user-account-assistant-02,true,"UserIdentity{name: 'SAAS', surname: 'Sando', email: 'sando@acme.com'}",assistant2,assistant2
user-account-auditor-01,true,"UserIdentity{name: 'Segismundo', surname: 'De la Barca', email: 'segisbar@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Hamlet', surname: 'Príncipe de Dinamarca', email: 'hamprin@acme.com'}",auditor2,auditor2
user-account-company-01,true,"UserIdentity{name: 'Company1', surname: 'company1', email: 'company1@acme.com'}",company1,company1
user-account-company-02,true,"UserIdentity{name: 'Company2', surname: 'company2', email: 'company2@acme.com'}",company2,company2
user-account-student-01,true,"UserIdentity{name: 'Student1', surname: 'Student1', email: 'student1@acme.com'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'Student2', surname: 'Student2', email: 'student2@acme.com'}",student2,student2
user-account-no-rol-01,true,"UserIdentity{name: 'NoRol1', surname: 'NoRol1', email: 'norol1@acme.com'}",norol1,norol1
user-account-no-rol-02,true,"UserIdentity{name: 'NoRol2', surname: 'NoRol2', email: 'norol2@acme.com'}",norol2,norol2
